ticker,company,sector,signal,buy_score,quality_score,composite_score,overheat_score,ev_to_sales,ev_to_fcf,net_debt_to_ebitda,current_ratio,revenue_growth,eps_growth,roic,gross_margin,fcf_margin,change_6m,change_1y
ADBE,Adobe Inc.,Technology,BUY,19.0,4,23.0,0,4.735279291976944,11.42436596538774,0.12483331623756283,0.9963725490196078,0.10527784236224134,0.34485530546623805,,0.8911186840001682,,-22.63012,-37.45789
CRM,"Salesforce, Inc.",Technology,BUY,17.0,4,21.0,0,4.332785547959061,12.492634347937788,-0.04636542239685658,0.760331914435045,0.09579100145137881,0.21894409937888185,,0.7767609873570138,,-21.77781,-30.4654
INTU,Intuit Inc.,Technology,BUY,17.0,4,21.0,0,6.313157149147657,18.573919432373156,0.6977662969153624,1.3232700135685211,0.15634019035922628,0.3062381852551985,,0.812285671686298,,-33.38885,-25.00895
NOW,"ServiceNow, Inc.",Technology,BUY,17.0,4,21.0,0,8.996718632324145,26.105426136363636,-0.17335101093801789,0.9461840467298669,0.20884923525127458,0.22463768115942034,,0.7753426720891701,,-38.87616,-29.0543
AMD,"Advanced Micro Devices, Inc.",Technology,WATCH,16.0,2,18.0,3,9.605084881203268,49.40022794357832,-0.14646533973919013,2.850026441036489,0.34337793290672874,1.0,,0.4951644100580271,,31.50896,111.57503
BSX,Boston Scientific Corporation,Healthcare,BUY,15.0,3,18.0,0,5.625861156612702,31.155631094896552,2.113488182559087,1.6168413311270453,0.1986624470054338,0.5555555555555555,,0.6900622665006226,,-33.75503,-27.63819
LRCX,Lam Research Corporation,Technology,AVOID,15.0,2,17.0,5,13.224501693098214,40.816371632177265,-0.22618995246349174,2.2561850641695127,0.23684089764599187,0.4329896907216494,,0.49801415644303365,,89.56134,198.65731
AXP,American Express Company,Financial Services,BUY,14.0,4,18.0,0,2.7333099034711608,13.743067847466099,0.6651005823186872,0.2841469269229418,0.08439239363350898,0.09686609686609696,,0.8323453015671799,,-7.48209,19.29989
ISRG,"Intuitive Surgical, Inc.",Healthcare,WATCH,14.0,3,17.0,2,16.999079228591018,68.69178653069419,-0.8461326119361784,4.874638620277141,0.20505022688904587,0.22324159021406728,,0.6599600584220096,,7.53537,-0.71295471
KLAC,KLA Corporation,Technology,AVOID,14.0,3,17.0,5,15.44788959789439,44.95445449499199,0.648072603032967,2.77043856177771,0.23887647752854163,0.4958353748162666,,0.618897931141411,,53.16132,121.19868
GOOGL,Alphabet Inc.,Communication Services,WATCH,14.0,3,17.0,3,9.348750527033735,51.41059949149674,0.22870756732227251,2.005333592875566,0.1512636492980361,0.3419434194341942,,0.596591247542839,,28.11674,87.73116
NVDA,NVIDIA Corporation,Technology,AVOID,14.0,4,18.0,4,20.886149599709178,46.651840914622035,0.005582766063423543,3.905263812455306,0.6,0.6599326599326597,,0.7106808435754708,,4.71863,70.58661
