ticker,company,sector,price,signal,buy_score,quality_score,composite_score,overheat_score,ev_to_sales,ev_to_fcf,net_debt_to_ebitda,current_ratio,revenue_growth,eps_growth,roic,gross_margin,fcf_margin,change_6m,change_1y
ADBE,Adobe Inc.,Technology,247.64,BUY,15,12,27,0,4.17045843045843,9.884677716390424,0.03279352226720648,0.9118525021949078,0.10527784236224134,0.34485530546623805,0.3739574104782063,0.8910154173312068,0.42191142191142184,-29.90064,-37.2221
BKNG,Booking Holdings Inc.,Consumer Cyclical,4396.79,BUY,10,12,22,0,5.342917853066835,15.82649057455706,0.2267549094065314,1.3333333333333333,0.1338725304351489,-0.048239597622313654,0.5082313329686815,1.0,0.33759334249730655,-20.42873,-6.64434
APP,AppLovin Corporation,Technology,458.95,WATCH,9,12,21,2,26.897768401023534,39.607143662992776,0.2531164353678591,3.3219612112269714,0.16381999843711778,1.1025641025641026,0.5823408330808151,0.8648425943596743,0.6791140666413584,-28.50355,35.09655
FTNT,"Fortinet, Inc.",Technology,82.77,BUY,7,12,19,0,8.8318070265898,26.980301490699972,-0.610814555234098,1.1720699245133095,0.14167702071929883,0.0701754385964913,0.28748888442172366,0.808429907641626,0.32734278486969826,-0.99282297,-17.05582
GILD,"Gilead Sciences, Inc.",Healthcare,137.34,BUY,9,12,21,0,6.369289545547177,19.833381575885777,1.3205118262892594,1.6833996444594939,0.023961883564025874,17.0,0.2024534223512997,0.8079953807485905,0.32113986821547447,20.82344,28.66779
V,Visa Inc.,Financial Services,304.44,BUY,6,12,18,0,14.33628905329661,25.88072837600314,0.2415271769794997,1.1113333968435426,0.1133997661860491,0.04928131416837787,0.307933324782277,0.8107801212824044,0.5539368461742891,-10.10984,-11.46654
NVDA,NVIDIA Corporation,Technology,175.64,BUY,10,12,22,0,19.772976919527824,44.16542978659646,0.005582766063423543,3.905263812455306,0.654735357900948,0.6599326599326597,0.6288038473944232,0.7106808435754708,0.4477025812964832,-0.75153981,44.66683
MA,Mastercard Incorporated,Financial Services,500.38,BUY,8,12,20,0,13.858405868500503,26.58735003709338,0.3898682777062494,1.0349705649767156,0.16416373770724607,0.18893678160919547,0.48628291591916467,0.8343142935561587,0.5212405843066694,-12.03038,-7.96255
EXPE,"Expedia Group, Inc.",Consumer Cyclical,236.65,BUY,7,11,18,0,1.8586610432362722,7.4110022056833555,-0.10760602874167544,0.7323647715675091,0.07610839237455262,0.09904153354632585,0.1639414337672174,0.8862417701757959,0.2507975293558678,8.63976,32.73319
PAYX,"Paychex, Inc.",Industrials,93.5,WATCH,5,11,16,0,6.142636864217173,18.01412227217497,1.314532482162974,1.2653420630299244,0.055586078851145256,-0.019189765458422332,0.1723359799944023,0.7336217040388472,0.34099007275559756,-27.10688,-35.44155
