ticker,company,sector,price,signal,buy_score,quality_score,composite_score,overheat_score,ev_to_sales,ev_to_fcf,net_debt_to_ebitda,current_ratio,revenue_growth,eps_growth,roic,gross_margin,fcf_margin,change_6m,change_1y
ABNB,"Airbnb, Inc.",Consumer Cyclical,130.0,BUY,10,11,21,0,5.999821517032922,15.862595073434125,-1.766116352201258,1.3771704886804894,0.10259412718429112,-0.02147971360381879,0.19163705554746566,0.8295890858589985,0.37823707213462954,6.77618,0.09239298
ADBE,Adobe Inc.,Technology,238.87,BUY,15,12,27,0,4.023233754549544,9.535730832606378,0.03279352226720648,0.9118525021949078,0.10527784236224134,0.34485530546623805,0.3739574104782063,0.8910154173312068,0.4219114219114219,-32.55308,-40.82103
ADS,"Bread Financial Holdings, Inc.",Financial Services,56.8,BUY,11,7,18,0,0.890773340285167,2.008514359884837,1.1368876080691643,0.26879596840098063,0.023759899958315966,0.9838709677419355,0.06542173204662238,0.6333262396254522,0.4434986167269631,0.0,-18.8919
ALNY,"Alnylam Pharmaceuticals, Inc.",Healthcare,308.05,BUY,11,9,20,0,10.89831460307485,86.97278121891001,-0.8015151867750132,2.76241331361088,0.6519286393864009,2.0963302752293576,0.13735160017607415,0.8171891445654571,0.1253071874940259,-31.48049,9.64194
AMBA,"Ambarella, Inc.",Technology,54.53,BUY,14,5,19,0,5.554000240592575,31.469660962380715,2.56906429026098,2.3056411005709663,0.3715338844715918,0.37323943661971826,-0.13253453201709378,0.5919242798859489,0.17648745079369957,-34.61631,-2.18834
ANET,"Arista Networks, Inc.",Technology,130.8,BUY,11,11,22,0,18.07195367078628,38.272644429733795,-0.4998854582940922,3.0478936110852786,0.28595907526666764,0.2290748898678414,0.2264182384087966,0.6405609780472368,0.47218983532651543,-8.56983,50.44859
BAH,Booz Allen Hamilton Holding Corporation,Industrials,78.88,BUY,15,5,20,0,0.7993824631132213,9.770189473954858,-0.5314518877135739,1.8068115091015855,0.1236275424183466,0.5791757049891539,0.1808794437003839,0.5265098946612945,0.08181852207106079,-19.12232,-25.80888
BKNG,Booking Holdings Inc.,Consumer Cyclical,4290.65,BUY,10,12,22,0,5.215811931047294,15.449984565643227,0.2267549094065314,1.3333333333333333,0.1338725304351489,-0.048239597622313654,0.5082313329686815,1.0,0.33759334249730655,-23.04774,-10.19818
BSX,Boston Scientific Corporation,Healthcare,68.15,BUY,12,8,20,0,5.55417701120797,30.758649241379313,2.113488182559087,1.6168413311270453,0.1986624470054338,0.5555555555555555,0.08784023693644862,0.6900622665006226,0.1805728518057285,-30.55839,-33.8863
CRM,"Salesforce, Inc.",Technology,183.02,BUY,11,10,21,0,4.366977196965683,12.591218449104293,0.7739882121807465,0.760331914435045,0.09579100145137881,0.21894409937888185,0.08755926406431387,0.7767609873570138,0.3468272125225767,-24.04233,-36.5857
CRUS,"Cirrus Logic, Inc.",Technology,142.91,BUY,11,9,20,0,3.430567944653456,11.01561628134031,-1.0036641842298115,7.651562779940388,0.059918161541514574,0.2332015810276681,0.16362999251865154,0.528687810138488,0.31142769111017415,13.78185,39.20709
EXPE,"Expedia Group, Inc.",Consumer Cyclical,236.99,BUY,7,11,18,0,1.8613613581755242,7.421769117726657,-0.10760602874167544,0.7323647715675091,0.07610839237455262,0.09904153354632585,0.1639414337672174,0.8862417701757959,0.2507975293558678,10.13058,33.99864
