ticker,company,sector,price,signal,buy_score,quality_score,composite_score,overheat_score,ev_to_sales,ev_to_fcf,net_debt_to_ebitda,current_ratio,revenue_growth,eps_growth,roic,gross_margin,fcf_margin,change_6m,change_1y
MC,Moelis & Company,Financial Services,63.73,BUY,17,11,28,0,3.1726418005951698,11.641531790590532,0.38072082761195025,0.697924952100811,0.2697688241129468,0.6455026455026455,0.2341537551284698,0.6933371155104338,0.2725278646886926,0.59984215,3.67659
ADBE,Adobe Inc.,Technology,247.6,BUY,15,12,27,0,4.105995992311781,9.731891053600853,0.03279352226720648,0.9118525021949078,0.10527784236224134,0.34485530546623805,0.3739574104782063,0.8910154173312068,0.4219114219114219,-25.22123,-40.64201
INTU,Intuit Inc.,Technology,393.0,BUY,14,11,25,0,5.663422183937181,16.662336271823367,0.6977662969153624,1.3232700135685211,0.15634019035922628,0.3062381852551985,0.1642489982224892,0.812285671686298,0.33989364345708467,-40.67119,-41.36779
NOW,"ServiceNow, Inc.",Technology,95.07,BUY,15,10,25,0,7.0039721747851,21.104133727606303,-0.08864900228982663,0.8473129080863887,0.20884923525127458,0.22463768115942034,0.10133193589400809,0.7656160458452722,0.33187679083094557,-44.10606,-54.30206
FSLR,"First Solar, Inc.",Energy,233.37,BUY,15,9,24,0,4.269957307999486,13.874169255756996,-0.8249876499046062,2.556579059980972,0.24085054545705253,0.18061309030654513,0.1537424784391107,0.41729266838012874,0.3077630976880072,-7.78805,30.7688
IAG,IAMGOLD Corporation,Basic Materials,16.98,WATCH,13,10,23,2,2.950635154949964,7.910797245683871,0.051039371017364464,1.8931779094209822,0.7775503894672382,-0.22368421052631585,0.21701591903324186,0.4785408712282253,0.37298834280701987,23.67079,169.52381
BKNG,Booking Holdings Inc.,Consumer Cyclical,154.13,BUY,11,12,23,0,4.419078027269116,13.544892432303776,0.3068110153458062,1.056685679672909,0.1338725304351489,-0.04835390946502058,0.6824153278543149,1.0,0.3262541987214216,-23.66779,-27.52962
OKTA,"Okta, Inc.",Technology,82.77,BUY,15,8,23,0,4.604705525865022,14.934594922222221,-1.329268292682927,1.3598277212216132,0.11839080459770115,6.882352941176471,0.018784972022382093,0.7735525865022268,0.30832476875642345,-1.39385,-34.98036
PCTY,Paylocity Holding Corporation,Technology,107.12,BUY,13,10,23,0,3.224907352334153,11.849000880622476,-0.34506978988866627,0.12875107700789068,0.13740031300913003,0.10869565217391301,0.1824591710390393,0.692971634239916,0.2721670278215673,-27.64607,-46.71707
VEEV,Veeva Systems Inc.,Healthcare,158.86,BUY,13,10,23,0,7.705474884917305,17.717308056531,-1.3859902851197106,4.885373499745885,0.1633615729010831,0.2585034013605441,0.09480924483793825,0.7552604425672493,0.43491228240380986,-45.8481,-34.56627
