ticker,company,sector,signal,buy_score,quality_score,composite_score,overheat_score,ev_to_sales,ev_to_fcf,net_debt_to_ebitda,current_ratio,revenue_growth,eps_growth,roic,gross_margin,fcf_margin,change_6m,change_1y
NVDA,NVIDIA Corporation,Technology,WATCH,14.0,12,26.0,3,20.617143518019063,46.050982012019524,0.005582766063423543,3.905263812455306,0.6,0.6599326599326597,0.6288038473944232,0.7106808435754708,0.4477025812964833,2.99179,58.45302
GOOGL,Alphabet Inc.,Communication Services,WATCH,14.0,10,24.0,3,9.21651744790074,50.68342404156088,0.22870756732227251,2.005333592875566,0.1512636492980361,0.3419434194341942,0.21813386891449113,0.596591247542839,0.1818448067033338,26.05897,86.5016
ISRG,"Intuitive Surgical, Inc.",Healthcare,WATCH,14.0,9,23.0,2,16.606363695589536,67.1048575448669,-0.8461326119361784,4.874638620277141,0.20505022688904587,0.22324159021406728,0.13709516322071325,0.6599600584220096,0.24746887636988685,6.58023,0.52225345
JNJ,Johnson & Johnson,Healthcare,WATCH,13.0,10,23.0,2,6.492159061384604,31.044569929383695,0.7082559598494353,1.027676163027011,0.06048119251078011,0.8886986301369862,0.13711199990173623,0.7278460182816133,0.2091238202414192,35.93171,48.49991
AMD,"Advanced Micro Devices, Inc.",Technology,WATCH,16.0,6,22.0,2,9.276545899131037,47.71050829992576,-0.14646533973919013,2.850026441036489,0.34337793290672874,1.0,0.05406394030287512,0.4951644100580271,0.19443401945783653,24.70202,101.54928
CSCO,"Cisco Systems, Inc.",Technology,WATCH,8.0,9,17.0,0,5.584483518389948,25.67028019732233,1.3310588235294118,0.9550100581743054,0.05298961024478189,0.003921568627451071,0.12024576120336973,0.6481356047007824,0.21754665221661532,16.84954,30.28322
MDB,"MongoDB, Inc.",Technology,WATCH,10.0,7,17.0,1,8.09002337692594,39.19729115118907,57.45821940282183,4.6525371324100515,0.22794268264784995,0.4913294797687861,-0.04420303161642426,0.7174856532417241,0.20639240976427844,-21.02999,40.83198
MO,"Altria Group, Inc.",Consumer Defensive,WATCH,6.0,11,17.0,0,6.4533936052329475,14.868266113180516,1.9845794392523364,0.6056368800524361,-0.01491880258266484,-0.3715596330275229,0.2822595585864554,0.695589782837463,0.4340380751937243,1.6054,15.66183
MDT,Medtronic plc,Healthcare,WATCH,11.0,6,17.0,0,3.920354755777252,25.71346915970425,2.8777255237280888,2.535123749341759,0.03624397478680015,0.31046931407942235,0.06433662145544965,0.6194904745800924,0.15246308195242927,-7.07221,-5.3612
SNOW,Snowflake Inc.,Technology,WATCH,10.5,6,16.5,1,12.930956291981163,54.063325996104666,0.06934478976059243,1.2987366145666894,0.2916256250006894,-0.023316062176165882,-0.3014797909924414,0.6716860100436683,0.2391816643488204,-19.85078,18.30074
